ANL_ANALYSIS_BATCH,BATCH_ID,ANL_SAMPLE,BATCH_ID,BATCH_ID,"ANALYSIS_ID,ANL_SOURCE,SAMPLE_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",INT_SET_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","INTEREST_SET_ID,INTEREST_SET_SEQ_NO,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",LAND_RIGHT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","LAND_RIGHT_SUBTYPE,LAND_RIGHT_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",LITH_LOG_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","LITHOLOGY_LOG_ID,LITH_LOG_SOURCE,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",NOTIFICATION_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","NOTIFICATION_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",OBLIGATION_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","OBLIGATION_ID,OBLIGATION_SEQ_NO,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PALEO_SUM_COMP,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","PALEO_SUMMARY_ID,PALEO_COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PDEN_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","PDEN_SUBTYPE,PDEN_ID,PDEN_SOURCE,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",POOL_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","POOL_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PPDM_METRIC_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","METRIC_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PPDM_RULE_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","RULE_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PPDM_SW_APPLIC_COMP,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,ANL_SOURCE","SW_APPLICATION_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PROD_STRING_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","UWI,PR_STR_SOURCE,STRING_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",PROJECT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","PROJECT_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",RATE_SCHEDULE_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","RATE_SCHEDULE_ID,COMPONENT_OBS_NO"
